id,poi_id,code,name_cn,name_en,category,city,district,duration_hours,price_min,price_max,currency,tags,suitable_for,description,description_cn,description_en,recommended_reason,highlights,target_users,image_placeholder,image_notes,image_source,image_alt,image_url,image_path,images,address,opening_hours,reservation_info,notes,internal_remark,status
POI001,POI001,POI001,甄选套餐,,体检,杭州,,4.0,8299.0,8999.0,CNY,高客单价体检;全面检查;可作为医旅核心;体检;医疗节奏;通用;半日;甄选;25,医疗体检核心,,PDF为“甄选套餐”团体优惠定价；含胶囊胃镜、脑区评估等高阶项目,,,,,POI image placeholder,,,,,,[],杭州,,,PDF为“甄选套餐”团体优惠定价;含胶囊胃镜;脑区评估等高阶项目;体检方案书 p24;区间价;多规格;男8299;女未婚8499;女已婚8999;元;人;胶囊胃镜,,active
POI002,POI002,POI002,菁选套餐,,体检,杭州,,8.0,2799.0,3050.0,CNY,入门全面体检;半日-1日轻医旅;体检;医疗节奏;通用;1日;菁英;菁选;全面检查;25,医疗体检核心,,PDF套餐名为“菁英套餐”，源点位表写“菁选套餐”，建议统一命名,,,,,POI image placeholder,,,,,,[],杭州,,,PDF套餐名为“菁英套餐”;源点位表写“菁选套餐”;建议统一命名;体检方案书 p11;区间价;多规格;男2799;女未婚2799;女已婚3050;元;人;25,,active
POI003,POI003,POI003,尊选套餐,,体检,杭州,,8.0,6199.0,6699.0,CNY,中高端全面体检;可搭配1-2日康养;体检;医疗节奏;通用;1日;尊享;尊选;全面检查;25,医疗体检核心,,PDF套餐名为“尊享套餐”，源点位表写“尊选套餐”，建议统一命名,,,,,POI image placeholder,,,,,,[],杭州,,,PDF套餐名为“尊享套餐”;源点位表写“尊选套餐”;建议统一命名;体检方案书 p17;区间价;多规格;男6199;女未婚6299;女已婚6699;元;人;25,,active
POI004,POI004,POI004,邵逸夫B2,,体检,杭州,,16.0,12450.0,16185.0,CNY,专项医疗;需确认专科与报价;体检;医疗节奏;通用;2日;医疗级别待确认;单项;25,专项医疗,,仅有点位与2日时长；需补医院专科项目报价,,,,,POI image placeholder,,,,,,[],杭州,,,仅有点位与2日时长;需补医院专科项目报价;源点位表;部分补充;成本12450;元;人;疗程;售价16185;25,,active
POI005,POI005,POI005,西湖环湖慢享（电瓶车+游船）,,旅游,杭州,,1.0,2.0,798.0,CNY,西湖秘境;自然疗愈;低强度;自然;休闲;通用;0-1小时;25,西湖秘境;宋韵;体检后轻游,,西湖电瓶车整圈普通40/仿古80；摇橹船按船计价,,,,西湖秘境;宋韵;体检后轻游,POI image placeholder,主图,,,,assets/poi_images/poi005_poi_image_1783041942.png,"[{""id"": ""IMG-7FA24562"", ""url"": ""assets/poi_images/poi005_poi_image_1783041942.png"", ""name"": ""西湖环享慢游.png"", ""isMain"": true, ""uploadedAt"": ""2026-07-03 09:25:42""}]",杭州,,,西湖电瓶车整圈普通40;仿古80;摇橹船按船计价;康养文旅 p8;p12;区间价;多规格;电瓶车40;80;摇橹船598(2-4人);798(5-6人);元;人或元;船;25,,active
POI006,POI006,POI006,苏堤漫步,,旅游,杭州,,1.0,0.0,80.0,CNY,自然疗愈;适合体检后轻松安排;自然;休闲;通用;0-1小时;25,西湖秘境;东方本草,,漫步本身免费，相关门票/交通另计,,,,,POI image placeholder,,,,,,[],杭州,,,漫步本身免费;相关门票;交通另计;康养文旅 p3;p8;免费;0;可搭配雷峰塔45;人;电瓶车40-80;元;25,,active
POI007,POI007,POI007,龙坞茶村漫步,,旅游,杭州,,1.0,0.0,288.0,CNY,茶文化;自然;低强度;休闲;通用;0-1小时;25,龙井茶韵;筋骨调养,,漫步本身免费；深度茶体验可加购,,,,,POI image placeholder,,,,,,[],杭州,,,漫步本身免费;深度茶体验可加购;康养文旅 p16-p18;免费;0;可搭配采茶;炒茶;品茶288;人;品茗150;元;25,,active
POI008,POI008,POI008,良渚古城遗址公园,,旅游,杭州,,1.5,60.0,78.0,CNY,文化遗产;半日游;自然;休闲;通用;1-2小时;25,良渚文化线,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;已补充;成本60;元;人;售价78;25,,active
POI009,POI009,POI009,人文历史漫步（胡雪岩、河坊街）,,旅游,杭州,,1.5,20.0,70.0,CNY,中医养生;城市人文;半日游;人文;休闲;通用;1-2小时;25,东方本草,,河坊街/大井巷/鼓楼漫步本身免费,,,,,POI image placeholder,,,,,,[],杭州,,,河坊街;大井巷;鼓楼漫步本身免费;康养文旅 p2;区间价;多规格;胡雪岩故居20;人;朱炳仁拓铜画50;元;25,,active
POI010,POI010,POI010,禅寺深度巡礼,,旅游,杭州,,2.0,30.0,1000.0,CNY,禅茶;正念;安静疗愈;人文;适中;通用;1-2小时;25,禅茶一味;心灵疗愈,,根据是否加入禅修静坐指导计价,,,,,POI image placeholder,,,,,,[],杭州,,,根据是否加入禅修静坐指导计价;康养文旅 p6;区间价;多规格;径山寺门票30;人;禅修指导1000;团;元;人或元;25,,active
POI011,POI011,POI011,中国丝绸博物馆,,旅游,杭州,,2.5,0.0,0.0,CNY,人文;轻量室内;雨天备选;适中;通用;2-4小时;25,人文室内备选,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;免费;0元;元;人;25,,active
